iter	Passed	Remaining
0	60	60612
1	61	30668
2	61	20573
3	62	15474
4	62	12442
5	62	10419
6	63	8983
7	63	7871
8	63	7038
9	64	6357
10	64	5806
11	65	5357
12	65	4950
13	65	4619
14	65	4320
15	66	4060
16	66	3851
17	67	3665
18	67	3478
19	67	3325
20	68	3183
21	68	3054
22	69	2933
23	69	2827
24	70	2749
25	70	2648
26	70	2555
27	71	2471
28	72	2411
29	72	2332
30	72	2259
31	72	2190
32	72	2126
33	73	2077
34	73	2019
35	73	1965
36	73	1922
37	74	1875
38	74	1834
39	74	1793
40	75	1754
41	75	1714
42	75	1675
43	75	1641
44	76	1629
45	77	1597
46	77	1567
47	77	1545
48	78	1520
49	78	1494
50	78	1467
51	79	1445
52	79	1419
53	79	1399
54	80	1381
55	80	1358
56	80	1335
57	80	1313
58	81	1294
59	81	1275
60	81	1257
61	82	1242
62	82	1230
63	83	1217
64	83	1199
65	83	1188
66	84	1176
67	85	1165
68	85	1154
69	85	1141
70	86	1132
71	87	1131
72	88	1118
73	88	1109
74	88	1097
75	89	1088
76	89	1075
77	89	1063
78	90	1054
79	90	1041
80	90	1031
81	91	1023
82	91	1012
83	92	1005
84	92	995
85	92	985
86	93	976
87	93	969
88	93	958
89	93	949
90	94	939
91	94	934
92	95	929
93	95	923
94	95	913
95	96	906
96	96	899
97	96	891
98	97	885
99	97	881
100	98	876
101	98	871
102	99	865
103	99	861
104	100	855
105	100	849
106	100	842
107	101	838
108	101	832
109	102	826
110	102	822
111	103	817
112	103	811
113	103	805
114	104	801
115	104	796
116	104	792
117	105	786
118	105	782
119	105	776
120	106	771
121	106	768
122	106	762
123	107	758
124	107	755
125	108	752
126	108	748
127	109	743
128	109	737
129	109	731
130	109	726
131	110	723
132	110	721
133	111	718
134	111	713
135	111	708
136	111	704
137	112	701
138	112	698
139	113	695
140	113	692
141	114	690
142	114	686
143	115	684
144	115	681
145	115	677
146	115	672
147	116	669
148	116	667
149	117	664
150	117	661
151	118	658
152	118	656
153	118	653
154	119	649
155	119	645
156	119	644
157	120	639
158	120	637
159	120	635
160	121	631
161	121	627
162	121	623
163	122	622
164	122	618
165	122	616
166	122	612
167	122	609
168	123	606
169	123	604
170	124	602
171	124	598
172	124	596
173	125	594
174	125	592
175	125	589
176	126	585
177	126	583
178	127	584
179	127	582
180	128	580
181	128	578
182	129	576
183	129	573
184	129	571
185	130	569
186	130	567
187	130	565
188	131	563
189	131	561
190	131	558
191	132	555
192	132	553
193	132	551
194	133	550
195	133	548
196	134	547
197	134	545
198	135	544
199	135	542
200	136	540
201	136	539
202	136	537
203	137	535
204	137	533
205	138	534
206	139	533
207	139	531
208	139	528
209	140	526
210	140	525
211	140	523
212	141	522
213	141	520
214	142	518
215	142	518
216	143	516
217	143	515
218	144	515
219	144	514
220	145	513
221	145	511
222	146	510
223	146	508
224	147	506
225	147	505
226	148	504
227	148	502
228	148	500
229	149	498
230	149	497
231	149	496
232	150	495
233	150	493
234	151	492
235	151	491
236	152	490
237	152	488
238	153	487
239	153	486
240	154	485
241	154	483
242	154	482
243	154	480
244	155	479
245	155	477
246	156	476
247	156	475
248	157	474
249	157	472
250	158	471
251	158	470
252	159	470
253	159	469
254	160	468
255	160	467
256	161	466
257	161	465
258	163	466
259	163	465
260	163	463
261	164	462
262	164	461
263	165	460
264	166	460
265	166	459
266	167	459
267	167	458
268	168	457
269	168	456
270	169	455
271	169	453
272	169	452
273	170	451
274	170	449
275	171	449
276	171	447
277	172	446
278	172	445
279	172	444
280	173	443
281	173	442
282	174	441
283	174	440
284	175	439
285	175	438
286	176	437
287	176	436
288	176	435
289	177	433
290	177	432
291	177	431
292	178	430
293	178	429
294	179	427
295	179	426
296	179	425
297	180	424
298	180	423
299	181	422
300	181	421
301	181	420
302	182	419
303	182	418
